Module	Module Description	Completeness	Pearson's r	Lower 95% CI	Upper 95% CI	Regression Coefficient	FDR adjusted p-value
M00728	M00728	Cationic antimicrobial peptide (CAMP) resistance, envelope protein folding and degrading  factors DegP and DsbA	1	-0.768063368075648	-0.931407331291531	-0.347208966831118	-0.00478931089455045	0.0118836705287892
M00256	M00256	Cell division transport system	1	-0.736008437979707	-0.920917702607885	-0.28065412013213	-0.00775854587719215	0.017396947315526
M00673	M00673	Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C	1	-0.65101029890058	-0.8917426980142	-0.123101268635125	-1.43358801229117e-05	0.0434232456526141
M00506	M00506	CheA-CheYBV (chemotaxis) two-component regulatory system	1	-0.668685536338142	-0.897978994367255	-0.153810000666357	-0.017611584173966	0.0358981479482073
M00101	M00101	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	0.727272727272727	-0.739632746320254	-0.922117303235653	-0.28796584135037	-0.000674054369839666	0.0165681128101438
M00077	M00077	Chondroitin sulfate degradation	1	-0.779060950114427	-0.934944724193837	-0.371063380638367	-0.00133976304826306	0.0101861766742537
M00009	M00009	Citrate cycle (TCA cycle, Krebs cycle)	0.769230769230769	-0.794214573688833	-0.939768666389364	-0.404838979952329	-0.0055281547397598	0.00837759617359335
M00010	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	1	-0.770122223084885	-0.932071921826554	-0.351633692521448	-0.0187558946740941	0.0117635771355425
M00011	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	0.735294117647059	-0.715695217848866	-0.914128808643676	-0.240629389841418	-0.00764560181344294	0.0207045159711932
M00487	M00487	CitS-CitT (magnesium-citrate transport) two-component regulatory system	1	-0.64686566108514	-0.890267004552514	-0.11604383997711	-3.63187932404148e-05	0.0451093927452226
M00674	M00674	Clavaminate biosynthesis, arginine + glyceraldehyde-3P => clavaminate	1	-0.663475214062325	-0.896150177628575	-0.144653076342776	-2.41614446318456e-05	0.0376915997665019
M00063	M00063	CMP-KDO biosynthesis	1	-0.793023515847968	-0.939391597899947	-0.402145214828698	-0.00933333959255313	0.00840971970549822
M00120	M00120	Coenzyme A biosynthesis, pantothenate => CoA	0.909090909090909	0.693183325640032	0.198082827027808	0.906472808084987	0.00114010594155421	0.0270024699503902
M00476	M00476	ComP-ComA (competence) two-component regulatory system	1	-0.677289412782554	-0.900981703749002	-0.169127058929758	-0.000131873653146569	0.0324564716288616
M00447	M00447	CpxA-CpxR (envelope stress response) two-component regulatory system	1	-0.743930047679778	-0.923535124514682	-0.296704043384884	-0.00742025495342583	0.015725661477969
M00449	M00449	CreC-CreB (phosphate regulation) two-component regulatory system	1	-0.712891984722068	-0.913183117976704	-0.235229975179025	-0.000917685189952931	0.0209262066847021
M00448	M00448	CssS-CssR (secretion stress response) two-component regulatory system	1	-0.728097702931385	-0.918287123362091	-0.264876396328139	-6.29428773128333e-05	0.0184764798277133
M00539	M00539	Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate	1	-0.880698970163333	-0.966233021913357	-0.620337229913948	-0.000659975605080016	0.00259721506192751
M00338	M00338	Cysteine biosynthesis, homocysteine + serine => cysteine	1	-0.724373097880637	-0.917042727939223	-0.257532682229225	-0.00601355908065846	0.0189087231305064
M00162	M00162	Cytochrome b6f complex	0.875	0.713623868747256	0.236636846861443	0.913430232496505	0.000101457237306495	0.0208802538710447
M00156	M00156	Cytochrome c oxidase, cbb3-type	1	-0.856845796867952	-0.959109789695385	-0.556697493800685	-0.00541159172638766	0.00356837435502097
M00631	M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	1	-0.853270862592435	-0.9580309325238	-0.547453855271529	-0.00518781519411395	0.0037709345499126
M00238	M00238	D-Methionine transport system	1	-0.825740120836665	-0.9496219718941	-0.478683588178793	-0.00173641066450482	0.00537463667576801
M00215	M00215	D-Xylose transport system	1	-0.726168122065558	-0.917642916634912	-0.26106516848021	-0.00947479875646067	0.0185869551190479
M00504	M00504	DctB-DctD (C4-dicarboxylate transport) two-component regulatory system	1	-0.809447211367436	-0.944560022074807	-0.439896429189944	-0.00341551871202703	0.00690581819732058
M00488	M00488	DcuS-DcuR (C4-dicarboxylate metabolism) two-component regulatory system	1	-0.727009530515039	-0.91792395167401	-0.262725302508053	-2.69331696401143e-05	0.0185590164563154
M00478	M00478	DegS-DegU (multicellular behavior control) two-component regulatory system	1	-0.801477163599929	-0.942060237410559	-0.421412036576036	-0.00311551310714221	0.00764029408138404
M00529	M00529	Denitrification, nitrate => nitrogen	0.916666666666667	0.87160910260224	0.595674534436481	0.963533860819687	0.00663510771154959	0.00291606022337578
M00779	M00779	Dihydrokalafungin biosynthesis, octaketide => dihydrokalafungin	0.75	-0.698462524159289	-0.908280869833355	-0.207895605207137	-0.000166921298478788	0.0253674005328264
M00324	M00324	Dipeptide transport system	1	-0.797699267730689	-0.940869830085362	-0.412759170147185	-0.00152416850659793	0.00804487663032331
M00566	M00566	Dipeptide transport system, Firmicutes	1	-0.718371177567179	-0.91502955268087	-0.245811235282145	-0.000146513767338531	0.0201743965836211
M00530	M00530	Dissimilatory nitrate reduction, nitrate => ammonia	1	0.806777645680332	0.433670013137687	0.943724460724921	0.00494807814236558	0.00718639671509399
M00596	M00596	Dissimilatory sulfate reduction, sulfate => H2S	1	0.846173440598016	0.529320707394385	0.955880215177033	0.00391458600619298	0.00422211392796643
M00260	M00260	DNA polymerase III complex, bacteria	1	-0.779791274717405	-0.935178542192072	-0.372666797279752	-0.0115485380053467	0.0101812912533011
M00542	M00542	EHEC/EPEC pathogenicity signature, T3SS and effectors	0.764705882352941	-0.752111727317395	-0.926221026486775	-0.313550436341041	-0.000629873327115727	0.0141172822631012
M00008	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	1	-0.684639462572248	-0.903529972723042	-0.182409336863504	-0.00753527885968351	0.0298427730970327
M00445	M00445	EnvZ-OmpR (osmotic stress response) two-component regulatory system	1	-0.810563756689475	-0.944908977178531	-0.44251120682867	-0.0063729036030713	0.00678840521326947
M00760	M00760	Erythromycin resistance, macrolide 2-phosphotransferase I MphA	0.5	-0.797735512826265	-0.940881267663981	-0.412841856872638	-6.0180439966521e-05	0.00804487663032331
M00368	M00368	Ethylene biosynthesis, methionine => ethylene	0.666666666666667	-0.754517643035973	-0.927007497465484	-0.318557399108945	-0.00572351005593707	0.01389188441094
M00477	M00477	EvgS-EvgA (acid and drug tolerance) two-component regulatory system	1	-0.915656971378452	-0.97644149564158	-0.720238578580884	-0.00223639580122148	0.00131661068580045
M00390	M00390	Exosome, archaea	1	0.91597080078092	0.721173700160435	0.976531924510884	0.00491975797568653	0.00131661068580045
M00391	M00391	Exosome, eukaryotes	0.5	0.916737281396502	0.723460580553494	0.976752693554746	0.00497113040976434	0.00131661068580045
M00157	M00157	F-type ATPase, prokaryotes and chloroplasts	1	-0.821841717961441	-0.948416653831556	-0.469278041289209	-0.010331129701041	0.00570877773296422
M00083	M00083	Fatty acid biosynthesis, elongation	0.8	-0.81360098149774	-0.945856661738168	-0.449655728224782	-0.00721198191964824	0.00666642577544227
M00082	M00082	Fatty acid biosynthesis, initiation	0.571428571428571	-0.90956993808022	-0.974683304505381	-0.702240355730296	-0.0105352869159251	0.00131661068580045
M00524	M00524	FixL-FixJ (nitrogen fixation) two-component regulatory system	1	-0.761786710631433	-0.929374506319992	-0.333834335358289	-0.00809967886988157	0.0127245577885945
M00713	M00713	Fluoroquinolone resistance, efflux pump LfrA	0.5	-0.757642336796857	-0.928026670587207	-0.3250967333304	-0.00615653764885695	0.0133044568590473
M00729	M00729	Fluoroquinolone resistance, gyrase-protecting protein Qnr	0.666666666666667	-0.914534048920157	-0.976117754408243	-0.716898398337579	-0.0133843384292654	0.00131661068580045
M00150	M00150	Fumarate reductase, prokaryotes	1	-0.663683522668731	-0.896223445691814	-0.145017472554279	-0.00176140413920924	0.0376915997665019
M00027	M00027	GABA (gamma-Aminobutyrate) shunt	0.857142857142857	-0.836926972639042	-0.953060522743905	-0.506123362015728	-0.00876066442414685	0.00458337135088856
M00135	M00135	GABA biosynthesis, eukaryotes, putrescine => GABA	0.6	-0.880959029423928	-0.966309969140078	-0.621050482486468	-0.0228629248201865	0.00259721506192751
M00136	M00136	GABA biosynthesis, prokaryotes, putrescine => GABA	1	-0.792572371774339	-0.939248680899794	-0.401126645359141	-0.00268650977732054	0.00843895517407733
M00669	M00669	gamma-Hexachlorocyclohexane transport system	0.75	-0.841832329573563	-0.95455891459568	-0.518370500509984	-0.0227168746575996	0.0044586071981408
M00232	M00232	General L-amino acid transport system	1	-0.766751668309445	-0.930983350858408	-0.344399705290469	-0.00402859714115497	0.0120243560984743
M00497	M00497	GlnL-GlnG (nitrogen regulation) two-component regulatory system	1	-0.837366066163425	-0.953194880590126	-0.507214231207256	-0.0151500363313714	0.00458337135088856
M00502	M00502	GlrK-GlrR (amino sugar metabolism) two-component regulatory system	1	-0.855768448847883	-0.958784976072268	-0.553903969266256	-0.00629471660413343	0.00356837435502097
M00003	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	1	-0.728599302299467	-0.918454421750066	-0.265869510267748	-0.00453273142061809	0.0184764798277133
M00203	M00203	Glucose/arabinose transport system	1	0.736774988268107	0.282196173081686	0.921171713599902	0.000230246917185271	0.0172478523663894
M00605	M00605	Glucose/mannose transport system	1	-0.865676139300055	-0.961761968741282	-0.579852987590188	-0.00265575179967762	0.0030813161404091
M00014	M00014	Glucuronate pathway (uronate pathway)	0.666666666666667	-0.75157532003628	-0.92604547318147	-0.312437431361901	-0.00393289345965081	0.0141692103409466
M00230	M00230	Glutamate/aspartate transport system	1	-0.838149276823681	-0.953434421027913	-0.509162643447123	-0.00227417393901833	0.00458337135088856
M00227	M00227	Glutamine transport system	1	-0.795858280718426	-0.940288454707468	-0.408567615320185	-0.00014812987468272	0.0082161489465899
M00118	M00118	Glutathione biosynthesis, glutamate => glutathione	0.5	-0.713512611246631	-0.913392676824706	-0.236422851976412	-0.00733975365432046	0.0208802538710447
M00607	M00607	Glycerol transport system	1	-0.72289946913687	-0.91654934854026	-0.254641977729841	-0.000976071666938187	0.0191350247877175
M00208	M00208	Glycine betaine/proline transport system	1	-0.802356762096471	-0.942336889857904	-0.423436643803752	-0.00298053087299259	0.00759525458393758
M00001	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	0.866666666666667	-0.669995960405594	-0.898437708368598	-0.15612701907275	-0.00582908566634643	0.0354295151538536
M00002	M00002	Glycolysis, core module involving three-carbon compounds	0.916666666666667	-0.826455710932676	-0.949842822469703	-0.480418765032232	-0.00810454596960563	0.00536177400611369
M00012	M00012	Glyoxylate cycle	0.666666666666667	-0.856608094371932	-0.959038147046357	-0.556080555601785	-0.0162050276736714	0.00356837435502097
M00050	M00050	Guanine ribonucleotide biosynthesis IMP => GDP,GTP	0.833333333333333	-0.888216481566715	-0.96845119262079	-0.64113032799849	-0.0245754050424086	0.00230273540466455
M00425	M00425	H/ACA ribonucleoprotein complex	0.5	0.933278557139847	0.773868939191033	0.981486251352435	0.00398656870167155	0.00113134167291626
M00121	M00121	Heme biosynthesis, glutamate => protoheme/siroheme	0.826086956521739	-0.642238753659194	-0.888613539969501	-0.108228022344796	-0.00501400515081773	0.0474111358224874
M00259	M00259	Heme transport system	1	-0.734478307707535	-0.920410194752142	-0.277583003042311	-0.00453702228643769	0.0176969387214536
M00328	M00328	Hemophore/metalloprotease transport system	1	-0.806596495089347	-0.943667698043236	-0.43324878985918	-0.000240785188029337	0.00718639671509399
M00078	M00078	Heparan sulfate degradation	0.666666666666667	-0.759024882494368	-0.928476799352622	-0.328003374794888	-0.00137547573173712	0.0131625343054327
M00026	M00026	Histidine biosynthesis, PRPP => histidine	0.789473684210526	0.839956925209674	0.513672483945812	0.953986725135998	0.00452255991459197	0.00449176377266808
M00045	M00045	Histidine degradation, histidine => N-formiminoglutamate => glutamate	1	-0.86860153622822	-0.962636651089989	-0.58762735006315	-0.0148875649981471	0.00299622990559741
M00662	M00662	Hk1-Rrp1 (glycerol uptake and utilization) two-component regulatory system	0.5	-0.847615934770373	-0.956318285609681	-0.532982834600643	-0.00167300506393793	0.0041487542124074
M00533	M00533	Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	1	-0.728988724419307	-0.918584258844902	-0.266641202925879	-0.0020265752846658	0.0184764798277133
M00499	M00499	HydH-HydG (metal tolerance) two-component regulatory system	1	-0.911881313114219	-0.975351876450607	-0.709043593332958	-0.0164324287099979	0.00131661068580045
M00593	M00593	Inositol transport system	1	-0.80075593563187	-0.941833253079567	-0.419754779175745	-0.00145813296750958	0.00768192350178836
M00240	M00240	Iron complex transport system	1	-0.755797369716096	-0.927425210795549	-0.321230592921938	-0.0109868501457461	0.0136335343350473
M00318	M00318	Iron/zinc/copper transport system	1	-0.765341791251581	-0.930527142039062	-0.341388588210174	-6.52586971318715e-05	0.0122931229473677
M00535	M00535	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate	1	-0.731033445058566	-0.919265317564627	-0.270702845192677	-0.00771109350900359	0.0181867174914145
M00570	M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	1	-0.744893496312209	-0.923852325653904	-0.298673466850543	-0.00957266968635294	0.0155320581837563
M00454	M00454	KdpD-KdpE (potassium transport) two-component regulatory system	1	-0.879885866019481	-0.965992339412002	-0.61810994109312	-0.0367692632169238	0.00259721506192751
M00485	M00485	KinABCDE-Spo0FA (sporulation control) two-component regulatory system	1	-0.811307034273032	-0.945141105342277	-0.444255325405397	-0.000304620082451014	0.00677441953500173
M00505	M00505	KinB-AlgB (alginate production) two-component regulatory system	1	-0.790899640829632	-0.938718335665915	-0.39735847036866	-0.00243686920451737	0.00858870484027546
M00213	M00213	L-Arabinose transport system	1	-0.704311350382281	-0.910274911762359	-0.218883719952334	-0.000578456282162287	0.0233391633312507
M00432	M00432	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	1	-0.924718450551149	-0.979043966368155	-0.747528021459366	-0.0163008357391904	0.00131661068580045
M00036	M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA	1	-0.803012600776512	-0.942543040654835	-0.424948681315972	-0.00820170614575277	0.00753471054427907
M00060	M00060	Lipopolysaccharide biosynthesis, KDO2-lipid A	1	-0.720081189864752	-0.915604127853927	-0.249136783455807	-0.00795667925050604	0.0197863186097804
M00320	M00320	Lipopolysaccharide export system	1	-0.668488610101455	-0.897910017231306	-0.153462295430292	-0.00685131912846426	0.0358981479482073
M00250	M00250	Lipopolysaccharide transport system	1	-0.844175924891614	-0.95527278373372	-0.524268941449707	-0.0229679298591455	0.00431496328606486
M00255	M00255	Lipoprotein-releasing system	1	-0.809211029542596	-0.944486168785077	-0.439344129345973	-0.014305303864652	0.00690581819732058
M00513	M00513	LuxQN/CqsS-LuxU-LuxO (quorum sensing) two-component regulatory system	1	-0.719287931501941	-0.91533768718158	-0.247592711199959	-8.61930234558711e-05	0.0199600659582193
M00525	M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	1	-0.835762644736308	-0.952704029491167	-0.503235860280869	-0.0100179896250335	0.0046376104537567
M00527	M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	0.909090909090909	-0.82712401004465	-0.950048966678771	-0.48204171981422	-0.00816490717313341	0.00532814455862786
M00526	M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine	0.9	-0.835762644736308	-0.952704029491167	-0.503235860280869	-0.0100179896250335	0.0046376104537567
M00031	M00031	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine	1	0.829112775753393	0.486885459045436	0.950661789476899	0.00541909243082854	0.0051978909047333
M00016	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	0.928571428571429	-0.731682073448503	-0.919481128526323	-0.271994716756281	-0.00633162148769644	0.0181472136466917
M00709	M00709	Macrolide resistance, MacAB-TolC transporter	1	-0.916813931919797	-0.976774764168406	-0.723689509476535	-0.0080203583534918	0.00131661068580045
M00013	M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	0.666666666666667	-0.866489064283235	-0.962005226969491	-0.582008159182948	-0.0108731997474464	0.0030813161404091
M00194	M00194	Maltose/maltodextrin transport system	1	-0.660554150548284	-0.895121418506783	-0.139558012411207	-0.000311729706324888	0.0390078366018428
M00319	M00319	Manganese/zinc/iron transport system	1	-0.660059652110899	-0.894947015245187	-0.138698205448494	-0.000718619513638983	0.0391261718829592
M00670	M00670	Mce transport system	0.75	-0.841832329573563	-0.95455891459568	-0.518370500509984	-0.0227168746575996	0.0044586071981408
M00037	M00037	Melatonin biosynthesis, tryptophan => serotonin => melatonin	0.5	-0.898589538327346	-0.971491207342669	-0.670430012083351	-0.00914970605650662	0.00166242123127738
M00617	M00617	Methanogen	0.557142857142857	-0.663776797059772	-0.89625624883693	-0.145180683945634	-0.000276681790999488	0.0376915997665019
M00356	M00356	Methanogenesis, methanol => methane	1	-0.720681271710133	-0.915805570125432	-0.250306431684862	-0.000176480498327632	0.0196744793798133
M00017	M00017	Methionine biosynthesis, apartate => homoserine => methionine	0.846153846153846	-0.899065623472944	-0.971630159782644	-0.67179205820176	-0.021062737024157	0.00166242123127738
M00035	M00035	Methionine degradation	0.857142857142857	-0.75220319990373	-0.926250955747123	-0.313740355458016	-0.0131003144667466	0.0141172822631012
M00034	M00034	Methionine salvage pathway	0.842105263157895	-0.753822173074655	-0.926780310720537	-0.31710754916825	-0.00197708588409698	0.0139324800354234
M00214	M00214	Methyl-galactoside transport system	1	-0.696982828166959	-0.907774881144499	-0.205135205635366	-0.000193709821622192	0.0258301778647625
M00740	M00740	Methylaspartate cycle	0.666666666666667	-0.744992184889114	-0.923884803526789	-0.298875414887465	-0.00962767171552912	0.0155320581837563
M00189	M00189	Molybdate transport system	1	-0.821064053851471	-0.948175775093116	-0.467411318884895	-0.00878187585777826	0.00575853021881263
M00423	M00423	Molybdate/tungstate transport system	1	0.831113260897368	0.491779069087927	0.951277268004484	0.00794702274047908	0.00507028530392855
M00696	M00696	Multidrug resistance, efflux pump AcrEF-TolC	1	-0.692072355929546	-0.906091315652182	-0.196030360666268	-6.02406060670981e-05	0.0273397924604656
M00649	M00649	Multidrug resistance, efflux pump AdeABC	1	-0.881904491679871	-0.966589587254063	-0.623647190880941	-0.0001434465250705	0.00259721506192751
M00699	M00699	Multidrug resistance, efflux pump AmeABC	0.5	-0.832990937494207	-0.951854092781773	-0.496391849774354	-0.0385807313049953	0.00486078521309063
M00701	M00701	Multidrug resistance, efflux pump EmrAB	1	-0.668148376010922	-0.897790817255644	-0.15286185728852	-0.0424443110824607	0.0359379827105154
M00648	M00648	Multidrug resistance, efflux pump MdtABC	1	-0.724446093676255	-0.917067152030146	-0.257676090026701	-0.0319569814288516	0.0189087231305064
M00697	M00697	Multidrug resistance, efflux pump MdtEF-TolC	0.5	-0.741713615390502	-0.922804463041603	-0.292187742802391	-0.0114328313929737	0.0161250745232463
M00718	M00718	Multidrug resistance, efflux pump MexAB-OprM	1	-0.812629797269361	-0.945553874772738	-0.447366117045493	-0.0316909597977558	0.00666642577544227
M00639	M00639	Multidrug resistance, efflux pump MexCD-OprJ	1	-0.849999048766367	-0.957040944489801	-0.539058891591268	-0.000119453804274905	0.00394165357533587
M00641	M00641	Multidrug resistance, efflux pump MexEF-OprN	1	-0.852878731825022	-0.957912412934483	-0.546444451895699	-0.00646816885604253	0.0037709345499126
M00642	M00642	Multidrug resistance, efflux pump MexJK-OprM	1	-0.782419249605527	-0.936018785737978	-0.378456659299279	-0.00251278168763748	0.00981128731175094
M00714	M00714	Multidrug resistance, efflux pump QacA	0.5	-0.757642336796857	-0.928026670587207	-0.3250967333304	-0.00615653764885695	0.0133044568590473
M00645	M00645	Multidrug resistance, efflux pump SmeABC	1	-0.647689437045531	-0.890560716538685	-0.117442298658669	-6.5964100884495e-05	0.0449843866666552
M00298	M00298	Multidrug/hemolysin transport system	1	-0.860531663859169	-0.960219021805893	-0.566306432167496	-7.48773909038674e-05	0.00339728754006048
M00216	M00216	Multiple sugar transport system	1	-0.828394371447113	-0.950440528124766	-0.485133317372523	-0.00125182175364565	0.00524879398295363
M00115	M00115	NAD biosynthesis, aspartate => NAD	0.857142857142857	-0.867108923828408	-0.962190610797916	-0.583654178601518	-0.00702605626261821	0.0030813161404091
M00471	M00471	NarX-NarL (nitrate respiration) two-component regulatory system	1	-0.722208815841046	-0.916317910782596	-0.25329005009759	-0.0037436164649689	0.0192730208331237
