Module ID	Module Name	Module Type	Definition
M00598	Anoxygenic photosystem I	Complex	K08940+K08941+K08942+K08943
M00597	Anoxygenic photosystem II	Complex	K08928+K08929
M00637	"Anthranilate degradation, anthranilate => catechol"	Pathway	"(K05599+K05600+K11311,K16319+K16320+K18248+K18249)"
M00389	APC/C complex	Complex	"K03358+K03349+(K03363,K03364)+K03348+K03350+K03351+K03352+K03353+(K03354,K03356)+K03355+K03357+(K03359,K12456)"
M00685	Apoptotic machinery	Pathway	"K02084 (K04399,K04489) (K02187,K04397)"
M00491	arabinogalactan oligomer/maltooligosaccharide transport system	Complex	"K15770+K15771+K15772+(K10111,K10112)"
M00602	Arabinosaccharide transport system	Complex	K17234+K17235+K17236+K10112
M00456	ArcB-ArcA (anoxic redox control) two-component regulatory system	FuncSet	K07648 K07773
M00343	Archaeal proteasome	Complex	K03432+K03433+K03420
M00229	Arginine transport system	Complex	"(K09996,K09997)+K09998+K09999+K10000"
M00587	Arginine/lysine/histidine/glutamine transport system	Complex	K17062+K17063
M00235	Arginine/ornithine transport system	Complex	K10022+K10023+K10024+K10025
M00716	ArlS-ArlR (virulence regulation) two-component regulatory system	FuncSet	K18940 K18941
M00129	"Ascorbate biosynthesis, animals, glucose-1P => ascorbate"	Pathway	"K00963 K00012 K00699 (K01195,K14756) -- K01053 K00103"
M00114	"Ascorbate biosynthesis, plants, glucose-6P => ascorbate"	Pathway	"((K01810,K06859,K13810) (K01809,K16011),K15916) (K16881,(K17497,K01840,K15778) (K00966,K00971,K16011)) K10046 K14190 (K10047,K18649) (K00064,K17744) K00225"
M00550	"Ascorbate degradation, ascorbate => D-xylulose-5P"	Pathway	(K02821+K02822+K03475) K03476 K03078 K03079 K03077
M00531	"Assimilatory nitrate reduction, nitrate => ammonia"	Pathway	"(K00367,K10534,K00372-K00360) (K00366,K17877)"
M00176	"Assimilatory sulfate reduction, sulfate => H2S"	Pathway	"(K13811,K00958+K00860,K00955+K00957,K00956+K00957+K00860) K00390 (K00380+K00381,K00392)"
M00500	AtoS-AtoC (cPHB biosynthesis) two-component regulatory system	FuncSet	K07710 K07714
M00777	"Avermectin biosynthesis, 2-methylbutanoyl-CoA/isobutyryl-CoA => 6,8a-Seco-6,8a-deoxy-5-oxoavermectin 1a/1b aglycone => avermectin A1a/B1a/A1b/B1b"	Pathway	K14371 K14372 K14373 K14374 K14375
M00738	"Bacitracin resistance, BceAB transporter"	Signature	K11629 K11630 K11631+K11632
M00737	"Bacitracin resistance, VraDE transporter"	Signature	K19083+K19084 K19081 K19082 K11631+K11632
M00314	Bacitracin transport system	Complex	K11632+K11631
M00731	Bacitracin transport system	Complex	K19084+K19083
M00747	Bacitracin transport system	Complex	K19310+K19309
M00342	Bacterial proteasome	Complex	K03432+K03433+K13527+K13571
M00450	BaeS-BaeR (envelope stress response) two-component regulatory system	FuncSet	K07642 K07664
M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	FuncSet	K07678 K07689
M00451	BasS-BasR (antimicrobial peptide resistance) two-component regulatory system	FuncSet	K07643 K07771
M00469	BceS-BceR (bacitracin transport) two-component regulatory system	FuncSet	K11629 K11630
M00548	"Benzene degradation, benzene => catechol"	Pathway	K16249+K16243+K16244+K16242+K16245+K16246
M00547	"Benzene/toluene degradation, benzene => catechol / toluene => 3-methylcatechol"	Pathway	K03268+K16268+K18089+K18090 K16269
M00551	"Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol"	Pathway	K05549+K05550+K05784 K05783
M00540	"Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA"	Pathway	K04116 K04117 K07534 K07535 K07536
M00541	"Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA"	Pathway	"(K04112+K04113+K04114+K04115,K19515+K19516) K07537 K07538 K07539"
M00296	BER complex	Complex	"K10803+K10798+(K02330,K03512,K10981)+K10776+(K10771,K10772)"
M00097	"beta-Carotene biosynthesis, GGAP => beta-carotene"	Pathway	K02291 K02293 K15744 K00514 K09835 K06443
M00628	"beta-Lactam resistance, AmpC system"	Signature	"K08218 K01207 K17850 (K01467,K17836)"
M00627	"beta-Lactam resistance, Bla system"	Signature	"K02172 K02171 (K18766,K17836)"
M00087	beta-Oxidation	Pathway	"(K00232,K00249,K00255,K06445,K09479) (((K01692,K07511,K13767) (K00022,K07516)),K01825,K01782,K07514,K07515,K10527) (K00632,K07508,K07509,K07513)"
M00086	"beta-Oxidation, acyl-CoA synthesis"	Pathway	"K01897,K15013"
M00555	"Betaine biosynthesis, choline => betaine"	Pathway	"(K17755,((K00108,K11440) K00130))"
M00321	Bicarbonate transport system	Complex	K11950+K11951+K11952+K11953
M00104	"Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate"	Pathway	K00489 K12408 K07431 K00251 K00037 K00488 K08748 K01796 K10214 K12405 K08764 K11992
M00573	"Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin"	Pathway	"K16593 K00652 (K00833,K19563) K01935 K01012"
M00577	"Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin"	Pathway	"K01906 K00652 (K00833,K19563) K01935 K01012"
M00123	"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin"	Pathway	"K00652 ((K00833,K19563) K01935,K19562) K01012"
M00581	Biotin transport system	Complex	K03523+K16783+K16784
M00543	"Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate"	Pathway	K08689+K15750+K18087+K18088 K08690 K00462 K10222
M00414	Blooms syndrome complex	Complex	K10901+K03165+K10990+K15365
M00679	BMP signaling	Pathway	"(K04662,K04663,K16620,K16621,K16622,K04664,K04665) ((K04671,K04670,K13596,K13597,K04672)+(K04673,K13578,K04675)) ((K04676,K16790,K16791)+K04501)"
M00237	Branched-chain amino acid transport system	Complex	K01999+K01997+K01998+K01995+K01996
M00734	BraS-BraR (bacitracin transport) two-component regulatory system	FuncSet	K19081 K19082
M00295	BRCA1-associated genome surveillance complex (BASC)	Complex	K10605+K08735+K08737+K08734+K10858+K10754+K10755+K10756+K04802+K10865+K10866+K10867+K10901+K04728
M00141	"C1-unit interconversion, eukaryotes"	Pathway	"K00600 (K00288,(K13403 K13402))"
M00140	"C1-unit interconversion, prokaryotes"	Pathway	K00600 K01491 K01938
M00365	"C10-C20 isoprenoid biosynthesis, archaea"	Pathway	K01823 K13787
M00364	"C10-C20 isoprenoid biosynthesis, bacteria"	Pathway	"K01823 (K00795,K13789,K13787)"
M00367	"C10-C20 isoprenoid biosynthesis, non-plant eukaryotes"	Pathway	K01823 K00787 K00804
M00366	"C10-C20 isoprenoid biosynthesis, plants"	Pathway	K01823 K14066 K00787 K13789
M00110	"C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone"	Pathway	"K00512 (K00070,K01822) K07434"
M00108	"C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone"	Pathway	"K00513 (K00497,K07433) K07433"
M00109	"C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone"	Pathway	"K00512 K00513 (K00497,K07433) (K15680,K00071)"
M00171	"C4-dicarboxylic acid cycle, NAD - malic enzyme type"	Pathway	"K01595 K14454 K14455 (K00025,K00026) K00028 (K00814,K14272) K01006"
M00172	"C4-dicarboxylic acid cycle, NADP - malic enzyme type"	Pathway	K01595 K00051 K00029 K01006
M00170	"C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type"	Pathway	K01595 K14454 K14455 K01610
M00095	"C5 isoprenoid biosynthesis, mevalonate pathway"	Pathway	"K00626 K01641 K00021 K00869 (K00938,K13273) K01597 K01823"
M00096	"C5 isoprenoid biosynthesis, non-mevalonate pathway"	Pathway	"K01662 K00099 (K00991,K12506) K00919 (K01770,K12506) K03526 K03527 K01823"
M00168	"CAM (Crassulacean acid metabolism), dark"	Pathway	"K01595 (K00025,K00026,K00024)"
M00169	"CAM (Crassulacean acid metabolism), light"	Pathway	K00029 K01006
M00695	cAMP signaling	Pathway	"(K04632,K04640) (K08041,K08042,K08043,K08044,K08045,K08046,K08047,K08048,K08049,K01768) K04345"
M00399	Cap binding complex	Complex	K12882+K12883
M00350	"Capsaicin biosynthesis, L-Phenylalanine => Capsaicin"	Pathway	"(K10775,K13064) K00487 K01904 K00588"
M00249	Capsular polysaccharide transport system	Complex	K09688+K10107+K09689
M00675	"Carbapenem-3-carboxylate biosynthesis, pyrroline-5-carboxylate + malonyl-CoA => carbapenem-3-carboxylate"	Pathway	K18317 K18316 K18315
M00544	"Carbazole degradation, carbazole => 2-oxopent-4-enoate + anthranilate"	Pathway	K15751-K15752-K15753 K15754+K15755 K15756
M00371	"Castasterone biosynthesis, campesterol => castasterone"	Pathway	"(K09587,K12639) K09588 K09591 (K12637,K12638) (K09590,K12640)"
M00569	"Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA"	Pathway	"(K00446,K07104) ((K10217 K01821 K01617),K10216) (K18364,K02554) (K18365,K01666) (K18366,K04073)"
M00568	"Catechol ortho-cleavage, catechol => 3-oxoadipate"	Pathway	"K03381 K01856 K03464 (K01055,K14727)"
M00042	"Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline"	Pathway	"(K00505,K00501) (K01592,K01593) K00503 K00553"
M00727	"Cationic antimicrobial peptide (CAMP) resistance,  N-acetylmuramoyl-L-alanine amidase AmiA and AmiC"	Signature	K07640 K07662 K01448
M00722	"Cationic antimicrobial peptide (CAMP) resistance,  phosphoethanolamine transferase PmrC"	Signature	K07771 K07643 K03760
M00721	"Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon"	Signature	"((K07771 K07643),(K18072 K18073),(K07637 K07660)) K07806+K10012+K10011+K13014+K07264+K12962+K12963"
M00725	"Cationic antimicrobial peptide (CAMP) resistance, dltABCD operon"	Signature	K19077 K19078 K03367+K03739+K14188+K03740
M00728	"Cationic antimicrobial peptide (CAMP) resistance, envelope protein folding and degrading  factors DegP and DsbA"	Signature	"K07640 K07662 (K04771,K03673)"
M00726	"Cationic antimicrobial peptide (CAMP) resistance, lysyl-phosphatidylglycerol (L-PG) synthase MprF"	Signature	K19077 K19078 K14205
M00724	"Cationic antimicrobial peptide (CAMP) resistance, palmitoyl transferase PagP"	Signature	K07660 K07637 K12973
M00723	"Cationic antimicrobial peptide (CAMP) resistance, phosphoethanolamine transferase EptB"	Signature	K07660 K07637 K18514 K12975
M00744	"Cationic antimicrobial peptide (CAMP) resistance, protease PgtE"	Signature	K07637 K07660 K08477
M00730	"Cationic antimicrobial peptide (CAMP) resistance, VraFG transporter"	Signature	K19077 K19078 K19079+K19080
M00732	Cationic antimicrobial peptide transport system	Complex	K19080+K19079
M00739	Cationic peptide transport system	Complex	K19226+K19227+K19228+K19229+K19230
M00512	CckA-CtrA/CpdR (cell cycle control) two-component regulatory system	FuncSet	K13587 K13584 K13589
M00692	Cell cycle - G1/S transition	Pathway	"((((K02089,K02091)+(K04503,K10151,K10152))+(K02206+K06626)) (K06618+(K17454,K09389,K06620))),((K02206+(K18810+K14505+K18811+K18812+K18813)) (K04681+K06620)),(((K04563+K06646)+(K04563+(K06650,K12760))) (K12413+K09249))"
M00693	Cell cycle - G2/M transition	Pathway	"((K05867,K06632) (K02087+(K06627,K05868))),((K18065,K06632) ((K02206,K07760)+(K06627,K05868))),((K02555,K03114) (K04563+K02220))"
M00256	Cell division transport system	Complex	K09811+K09812
M00206	Cellobiose transport system	Complex	K10240+K10241+K10242+K10112
M00673	"Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C"	Pathway	K12743 K04126 K04127 K12744 K12745 K04128 K18062 K18063
M00094	Ceramide biosynthesis	Pathway	"K00654 K04708 (K04709,K04710) K04712"
M00694	cGMP signaling	Pathway	"(K12323,K12324,(K12318+K12319)) (K07376,K18283,(K04948+K04952))"
M00506	CheA-CheYBV (chemotaxis) two-component regulatory system	FuncSet	K03407 K03413 K03412 K13924 K03415
M00103	Cholecalciferol biosynthesis	Pathway	K07419 K07438
M00101	"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol"	Pathway	"K01852 K05917 K00222 K07750 K07748 (K09827,K13373) K09828 K01824 K00227 K00213"
M00077	Chondroitin sulfate degradation	Pathway	K01135 K01197 K01195 K01132
M00507	ChpA-ChpB/PilGH (chemosensory) two-component regulatory system	FuncSet	K06596 K02487 K02657 K02658 K06597
M00520	ChvG-ChvI (acidity sensing) two-component regulatory system	FuncSet	K14980 K14981
M00521	CiaH-CiaR two-component regulatory system	FuncSet	K14982 K14983
M00486	CitA-CitB (citrate fermentation) two-component regulatory system	FuncSet	K07700 K07702
M00009	"Citrate cycle (TCA cycle, Krebs cycle)"	Pathway	"K01647 (K01681,K01682) (K00031,K00030) (K00164+K00658+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+K00237,K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)"
M00010	"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate"	Pathway	"K01647 (K01681,K01682) (K00031,K00030)"
M00011	"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"	Pathway	"(K00164+K00658+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+K00237,K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)"
M00487	CitS-CitT (magnesium-citrate transport) two-component regulatory system	FuncSet	K11637 K11638
M00674	"Clavaminate biosynthesis, arginine + glyceraldehyde-3P => clavaminate"	Pathway	K12673 K12674 K12675 K12676
M00063	CMP-KDO biosynthesis	Pathway	K06041 K01627 K03270 K00979
M00122	"Cobalamin biosynthesis, cobinamide => cobalamin"	Pathway	"(K00798,K19221) K02232 (K02225,K02227) K02231  K00768 K02226  K02233"
M00245	Cobalt/nickel transport system	Complex	K02009+K02008+K02007+K02006
M00120	"Coenzyme A biosynthesis, pantothenate => CoA"	Pathway	"(K00867,K03525,K09680,K01947) (K01922 K01598,K13038) (K02318,(K00954,K02201) K00859)"
M00358	Coenzyme M biosynthesis	Pathway	K08097 K05979 K05884 K13039+K06034
M00496	ComD-ComE (competence) two-component regulatory system	FuncSet	K12294 K12295
M00476	ComP-ComA (competence) two-component regulatory system	FuncSet	K07680 K07691
M00429	Competence-related DNA transformation transporter	Complex	"K02237+K02238+K02240+K02242+(K02245,K02246,K02247,K02249)+K02243+K02244+K02236-K02248-K01493-K02239-K02241"
M00106	"Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate"	Pathway	K08748 K00659
M00404	COPII complex	Complex	K14004+K14005+K14006+K14007+K07953
M00762	Copper-processing system	Complex	K19341+K19340
M00510	Cph1-Rcp1 (light response) two-component regulatory system	FuncSet	K11354 K11355
M00447	CpxA-CpxR (envelope stress response) two-component regulatory system	FuncSet	K07640 K07662
M00047	Creatine pathway	Pathway	K00613 K00542 K00933
M00449	CreC-CreB (phosphate regulation) two-component regulatory system	FuncSet	K07641 K07663
M00448	CssS-CssR (secretion stress response) two-component regulatory system	FuncSet	K07650 K07770
M00384	Cul3-SPOP complex	Complex	K03868+K03869+K10523
M00386	Cul4-DDB1-CSA complex	Complex	K03868+K10609+K10610+K10570
M00385	Cul4-DDB1-DDB2 complex	Complex	K03868+K10609+K10610+K10140
M00539	"Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate"	Pathway	K10619+K16303+K16304+K18227 K10620 K10621 K10622 K10623
M00452	CusS-CusR (copper tolerance) two-component regulatory system	FuncSet	K07644 K07665
M00369	"Cyanogenic glycoside biosynthesis, tyrosine => dhurrin"	Pathway	K13027 K13029 K13030
M00785	"Cycloserine biosynthesis, arginine/serine => cycloserine"	Pathway	K19741 K19723 K19726 K19725 K19724 K19727
M00419	"Cymene degradation, p-cymene => p-cumate"	Pathway	K10616+K18293 K10617 K10618
M00338	"Cysteine biosynthesis, homocysteine + serine => cysteine"	Pathway	"(K01697,K10150) K01758"
M00609	"Cysteine biosynthesis, methionine => cysteine"	Pathway	"K00789 K17462 (K01243,K18284) K07173 K17216 K17217"
M00021	"Cysteine biosynthesis, serine => cysteine"	Pathway	"K00640 (K01738,K12339,K13034,K17069)"
M00234	Cystine transport system	Complex	K02424+K10009+K10010
M00416	Cytochrome aa3-600 menaquinol oxidase	Complex	K02827+K02826+K02828+K02829
M00162	Cytochrome b6f complex	Complex	K02635+K02637+K02634+K02636+K02642+K02643+K03689+K02640
M00152	Cytochrome bc1 complex	Complex	"(K00412+K00413,K00410)+K00411+K00414+K00415+K00416+K00417+K00418+K00419+K00420"
M00151	Cytochrome bc1 complex respiratory unit	Complex	"((K00412+K00413,K00410)+K00411),K03886+K03887+K03888,K03890+K03891+K03889"
M00154	Cytochrome c oxidase	Complex	"(K02257+K02262+K02256+K02261+K02263+K02264+K02265+K02266+K02267+K02268+(K02269,K02270-K02271)+K02272-K02273+K02258+K02259+K02260)"
M00156	"Cytochrome c oxidase, cbb3-type"	Complex	"((K00404+K00405,K15862)+K00407+K00406)"
M00155	"Cytochrome c oxidase, prokaryotes"	Complex	"K02275+(K02274+K02276,K15408)-K02277"
M00153	Cytochrome d ubiquinol oxidase	Complex	K00425+K00426
M00417	Cytochrome o ubiquinol oxidase	Complex	K02297+K02298+K02299+K02300
M00217	D-Allose transport system	Complex	K10549+K10550+K10551
M00552	"D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P"	Pathway	K01684 K00883 K01631 K00134 K00927
M00631	"D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P"	Pathway	"K01812 K00041 (K01685,K16849+K16850) K00874 (K01625,K17463)"
M00630	"D-Galacturonate degradation (fungi), D-galacturonate => glycerol"	Pathway	"(K18106,K19634) K18102 K18103 K18107"
M00061	"D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P"	Pathway	"K01812 K00040 (K01686,K08323) K00874 (K01625,K17463)"
M00238	D-Methionine transport system	Complex	K02073+K02072+K02071
M00215	D-Xylose transport system	Complex	K10543+K10544+K10545
M00504	DctB-DctD (C4-dicarboxylate transport) two-component regulatory system	FuncSet	K10125 K10126
M00489	DctS-DctR (C4-dicarboxylate transport) two-component regulatory system	FuncSet	K11691 K11692
M00488	DcuS-DcuR (C4-dicarboxylate metabolism) two-component regulatory system	FuncSet	K07701 K07703
M00395	Decapping complex	Complex	"(K12610,K12611,K12612)+K12613+K12614+K12615+K12617"
M00478	DegS-DegU (multicellular behavior control) two-component regulatory system	FuncSet	K07777 K07692
M00529	"Denitrification, nitrate => nitrogen"	Pathway	"(K00370+K00371+K00374+K00373,K02567+K02568) (K00368,K15864) (K04561+K02305,K15877) K00376"
M00076	Dermatan sulfate degradation	Pathway	#NULL!
M00479	DesK-DesR (membrane lipid fluidity regulation) two-component regulatory system	FuncSet	K07778 K07693
M00482	DevS-DevR (redox response) two-component regulatory system	FuncSet	K07682 K07695
M00374	Dicarboxylate-hydroxybutyrate cycle	Pathway	"K00169+K00170+K00171+K00172 K01007 K01595 K00024 (K01676,K01677+K01678) (K00239+K00240-K00241-K18860) K01902+K01903 (K15038,K15017) K14465 (K14467,K18861) K14534 K15016 K00626"
M00779	"Dihydrokalafungin biosynthesis, octaketide => dihydrokalafungin"	Pathway	"K05556 (K14626,K14627) (K14628,K14629) (K14630+K14631,K14632)"
M00324	Dipeptide transport system	Complex	K12368+K12369+K12370+K12371+K12372
M00566	"Dipeptide transport system, Firmicutes"	Complex	K16199+K16200+K16201+K16202
M00530	"Dissimilatory nitrate reduction, nitrate => ammonia"	Pathway	"(K00370+K00371+K00374+K00373,K02567+K02568) (K00362+K00363,K03385+K15876)"
M00596	"Dissimilatory sulfate reduction, sulfate => H2S"	Pathway	"((K00956+K00957),K00958) K00394+K00395 K11180+K11181"
M00691	DNA damage-induced cell cycle checkpoints	Pathway	"(K06640,K04728) (K02216,(K06641,K02831)) (K06645,K05866,K05867,K02555)"
M00261	DNA polymerase alpha / primase complex	Complex	K02320+K02321+K02685+K02684
M00262	DNA polymerase delta complex	Complex	K02327+K02328+K03504+K03505
M00263	DNA polymerase epsilon complex	Complex	K02324+K02325+K02326+K03506
M00294	DNA polymerase gamma complex	Complex	K02332+K02333
M00264	"DNA polymerase II complex, archaea"	Complex	K02322+K02323
M00260	"DNA polymerase III complex, bacteria"	Complex	"K02337+(K03763,K02342,K14159)-K02345+K02338+K02340+K02341+K02343-K02339-K02344"
M00293	DNA polymerase zeta  complex	Complex	"K02350+(K03508,K13728)"
M00297	DNA-PK complex	Complex	K10884+K10885+K06642
M00388	ECS complex	Complex	"K10611+K10612+K03872+K03873+(K04701,K04694,K04695,K04696,K04697,K04698,K04699)"
M00033	"Ectoine biosynthesis, aspartate => ectoine"	Pathway	K00928 K00133 K00836 K06718 K06720
M00383	ECV complex	Complex	K03868+K03870+K03872+K03873+K03871
M00363	"EHEC pathogenicity signature, Shiga toxin"	Signature	K11006 K11007
M00542	"EHEC/EPEC pathogenicity signature, T3SS and effectors"	Signature	K03221+K03219+K03222+K03226+K03227+K03228+K03229+K03230+K03224+K03225 K12784 K12787 K12785 K12786 K12788 K16041 K16042
M00428	eIF4F complex	Complex	K03259+K03260+K03257
M00784	"Elloramycin biosynthesis, 8-demethyltetracenomycin C => elloramycin A"	Pathway	K19566 K19567 K19568 K19569 K19570
M00582	Energy-coupling factor transport system	Complex	"(K03523,K16923,K16924,K16925,K16926,K16927,K16928,K16929)+K16785+K16786+K16787"
M00008	"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate"	Pathway	"K00036 (K01057,K07404) K01690 K01625"
M00445	EnvZ-OmpR (osmotic stress response) two-component regulatory system	FuncSet	K07638 K07659
M00102	Ergocalciferol biosynthesis	Pathway	K00559 K09829 K00227 K09831 K00223
M00590	Erythritol transport system	Complex	K17202+K17203+K17204
M00774	"Erythromycin biosynthesis, propanoyl-CoA + methylmalonyl-CoA => deoxyerythronolide B => erythromycin A/B"	Pathway	K10817 K14366 K14367 K14368+K15997 K14370 K14369
M00760	"Erythromycin resistance, macrolide 2-phosphotransferase I MphA"	Signature	K19060 K06979
M00408	ESCRT-0 complex	Complex	K12182+K04705
M00409	ESCRT-I complex	Complex	K12183+K12184+K12185+K12186
M00410	ESCRT-II complex	Complex	K12188+K12189+K12190
M00412	ESCRT-III complex	Complex	K12191+K12192+K12193+K12194+K12195+K12196+K12197+K12198+K15053
M00368	"Ethylene biosynthesis, methionine => ethylene"	Pathway	K00789 K01762 K05933
M00373	Ethylmalonyl pathway	Pathway	K00626 K00023 K17865 K14446 K14447 K14448 K14449 K08691 K14451 K01965+K01966 K05606 K01847
M00477	EvgS-EvgA (acid and drug tolerance) two-component regulatory system	FuncSet	K07679 K07690
M00430	Exon junction complex (EJC)	Complex	K12876+K12877+K14323+K13025+K14324+K13114+K12875+K14325+K12881+K12812+K13171+K14285+K14326+K14327+K14328
M00390	"Exosome, archaea"	Complex	"(K07573,K03679)+K11600+K12589"
M00391	"Exosome, eukaryotes"	Complex	K07573+K12587+K03679+K03681+K11600+K12589+K12586+K12585+K03678+K12590
M00158	"F-type ATPase, eukaryotes"	Complex	"K02132+K02133+K02136+K02134+K02135+K02137+K02126+K02127+K02128+K02138+(K02129,K01549)+(K02130,K02139)+K02140+(K02141,K02131)-K02142-K02143+K02125"
M00157	"F-type ATPase, prokaryotes and chloroplasts"	Complex	K02111+K02112+K02113+K02114+K02115+K02108+K02109+K02110
M00378	F420 biosynthesis	Pathway	K11780+K11781 K14941 K11212 K12234 K14940
M00413	FA core complex	Complex	K10888+K10889+K10890+K10892+K10893+K10894+K10606+K10896+K10898+K10993
M00083	"Fatty acid biosynthesis, elongation"	Pathway	"K00665,(K00667 K00668),K11533,((K00647,K09458,K00648) K00059 (K02372,K01716,K16363) (K00208,K02371,K10780,K00209))"
M00415	"Fatty acid biosynthesis, elongation, endoplasmic reticulum"	Pathway	"(K10247,K10205,K10248,K10249,K10244,K10203,K10250,K15397,K10245,K10246) K10251 K10703 K10258"
M00085	"Fatty acid biosynthesis, elongation, mitochondria"	Pathway	"(K07508,K07509) (K00022 K07511,K07515) K07512"
