Module ID	Module Name	Module Type	Definition
M00760	"Erythromycin resistance, macrolide 2-phosphotransferase I MphA"	Signature	K19060 K06979
M00765	"Multidrug resistance, efflux pump Bmr"	FuncSet	K19575 K19578
M00766	"Streptomycin resistance, deactivating enzyme StrAB"	FuncSet	K10673 K04343
M00767	"Multidrug resistance, efflux pump OqxAB"	FuncSet	K05804 K19587 K19586+K19585
M00768	"Multidrug resistance, efflux pump GesABC"	FuncSet	K19592 K19595+K19594+K18139
M00769	"Multidrug resistance, efflux pump MexPQ-OpmE"	Signature	K18304 K19591 K19595+K19594+K19593
M00773	"Tylosin biosynthesis, methylmalonyl-CoA + malonyl-CoA => tylactone => tylosin"	Pathway	K15988 K15989+K15990 K15992 K15991 K15993 K15994 K15995 K15996
M00774	"Erythromycin biosynthesis, propanoyl-CoA + methylmalonyl-CoA => deoxyerythronolide B => erythromycin A/B"	Pathway	K10817 K14366 K14367 K14368+K15997 K14370 K14369
M00775	"Oleandomycin biosynthesis, malonyl-CoA + methylmalonyl-CoA => 8,8a-deoxyoleandolide => oleandomycin"	Pathway	K16007 K16008 K16009 K13320 K16010
M00776	"Pikromycin/methymycin/neomethymycin biosynthesis, methylmalonyl-CoA + malonyl-CoA => narbonolide/10-deoxymethynolide => pikromycin/methymycin/neomethymycin"	Pathway	K16000+K16001+K16002-K16003 K16004 K16005 K16006
M00777	"Avermectin biosynthesis, 2-methylbutanoyl-CoA/isobutyryl-CoA => 6,8a-Seco-6,8a-deoxy-5-oxoavermectin 1a/1b aglycone => avermectin A1a/B1a/A1b/B1b"	Pathway	K14371 K14372 K14373 K14374 K14375
M00778	"Type II polyketide backbone biosynthesis, acyl-CoA + malonyl-CoA => polyketide"	Pathway	"K05551+K05552+K05553 -K12420 ((K05554,K14249,K15884,K15885) (K05555,K14250),K15886)"
M00779	"Dihydrokalafungin biosynthesis, octaketide => dihydrokalafungin"	Pathway	"K05556 (K14626,K14627) (K14628,K14629) (K14630+K14631,K14632)"
M00780	"Tetracycline/oxytetracycline biosynthesis, pretetramide => tetracycline/oxytetracycline"	Pathway	K14251 K14252 K14253 K14254 K14255 K14256 --
M00781	"Nogalavinone/aklavinone biosynthesis, deoxynogalonate/deoxyaklanonate => nogalavinone/aklavinone"	Pathway	K15941 K15942 K15943 K15944
M00782	"Mithramycin biosynthesis, 4-demethylpremithramycinone => mithramycin"	Pathway	K15959 K15960 K15961 K15963 K15964 K15965 K15966 K15967
M00783	"Tetracenomycin C/8-demethyltetracenomycin C biosynthesis, tetracenomycin F2 => tetracenomycin C/8-demethyltetracenomycin C"	Pathway	K15968 K15969 K15886 -K15970 K15971 K15972
M00784	"Elloramycin biosynthesis, 8-demethyltetracenomycin C => elloramycin A"	Pathway	K19566 K19567 K19568 K19569 K19570
M00785	"Cycloserine biosynthesis, arginine/serine => cycloserine"	Pathway	K19741 K19723 K19726 K19725 K19724 K19727
M00786	"Fumitremorgin alkaloid biosynthesis, tryptophan/proline => fumitremorgin C/A"	Pathway	K18281 K14132 K17475 K18280 K17827 K17826 K14134 K17825 K18279
